source,target,tgt_lng,context,domain
hegemony,هژمونی,fa,Gramsci's concept of cultural and political dominance,political theory
dialectic,دیالکتیک,fa,Hegelian/Marxist method of argumentation,philosophy
praxis,پراکسیس,fa,Theory-informed practice; unity of theory and action,political theory
bourgeoisie,بورژوازی,fa,The capitalist class who own means of production,political theory
proletariat,پرولتاریا,fa,The working class in Marxist theory,political theory
ideology,ایدئولوژی,fa,System of ideas and beliefs,political theory
alienation,ازخودبیگانگی,fa,Marx's concept of estrangement from labor,political theory
superstructure,روبنا,fa,Institutions and culture built on economic base,political theory
base,زیربنا,fa,Economic foundation of society in Marxism,political theory
discourse,گفتمان,fa,Foucault's concept of systems of knowledge/power,philosophy
episteme,اپیستمه,fa,Foucault's historical conditions of knowledge,philosophy
biopolitics,زیست‌سیاست,fa,Foucault's governance of populations,political theory
panopticon,پانوپتیکون,fa,Bentham/Foucault's model of surveillance,philosophy
genealogy,تبارشناسی,fa,Foucault's method of historical analysis,philosophy
archaeology,باستان‌شناسی دانش,fa,Foucault's analysis of discursive formations,philosophy
habitus,هابیتوس,fa,Bourdieu's concept of embodied dispositions,sociology
field,میدان,fa,Bourdieu's social space of positions,sociology
capital,سرمایه,fa,Bourdieu's forms: economic/cultural/social/symbolic,sociology
symbolic violence,خشونت نمادین,fa,Bourdieu's concept of imposed cultural norms,sociology
distinction,تمایز,fa,Bourdieu's theory of taste and class,sociology
doxa,دوکسا,fa,Unquestioned beliefs in a social field,sociology
public sphere,حوزه عمومی,fa,Habermas's space of public deliberation,political theory
communicative action,کنش ارتباطی,fa,Habermas's theory of rational communication,philosophy
lifeworld,زیست‌جهان,fa,Habermas's concept of shared background,philosophy
legitimation crisis,بحران مشروعیت,fa,Habermas's analysis of state legitimacy,political theory
totalitarianism,تمامیت‌خواهی,fa,Arendt's analysis of total domination,political theory
banality of evil,ابتذال شر,fa,Arendt's concept from Eichmann trial,political theory
vita activa,زندگی فعال,fa,Arendt's concept of active life,philosophy
natality,تولد,fa,Arendt's concept of new beginnings,philosophy
sovereignty,حاکمیت,fa,Supreme authority within a territory,political theory
civil society,جامعه مدنی,fa,Sphere between state and individual,political theory
state of nature,وضع طبیعی,fa,Hypothetical pre-political condition,political theory
social contract,قرارداد اجتماعی,fa,Agreement forming basis of political authority,political theory
class struggle,مبارزه طبقاتی,fa,Marxist concept of conflict between classes,political theory
means of production,ابزار تولید,fa,Resources needed for producing goods,political theory
commodity fetishism,بت‌وارگی کالایی,fa,Marx's concept of mystification of commodities,political theory
surplus value,ارزش اضافی,fa,Marx's concept of unpaid labor value,political theory
historical materialism,ماتریالیسم تاریخی,fa,Marxist theory of historical development,philosophy
dialectical materialism,ماتریالیسم دیالکتیکی,fa,Marxist philosophical method,philosophy
organic intellectual,روشنفکر ارگانیک,fa,Gramsci's concept of class-aligned intellectuals,political theory
war of position,جنگ موضعی,fa,Gramsci's strategy of cultural struggle,political theory
subaltern,فرودست,fa,Gramsci/Spivak's concept of marginalized groups,political theory
false consciousness,آگاهی کاذب,fa,Marxist concept of distorted class awareness,political theory
reification,شیءوارگی,fa,Lukács's concept of treating relations as things,philosophy
instrumental reason,عقلانیت ابزاری,fa,Frankfurt School critique of means-end rationality,philosophy
culture industry,صنعت فرهنگ,fa,Adorno/Horkheimer's mass culture critique,sociology
one-dimensional man,انسان تک‌ساحتی,fa,Marcuse's critique of advanced industrial society,philosophy
emancipation,رهایی,fa,Liberation from domination,political theory
imperialism,امپریالیسم,fa,Extension of power through colonization,political theory
colonialism,استعمار,fa,System of political and economic domination,political theory
postcolonialism,پسااستعمارگرایی,fa,Critical analysis of colonial legacies,political theory
orientalism,شرق‌شناسی,fa,Said's critique of Western representations of East,political theory
neoliberalism,نئولیبرالیسم,fa,Free-market economic ideology,political theory
governmentality,حکومت‌مندی,fa,Foucault's art of government concept,political theory
biopower,زیست‌قدرت,fa,Foucault's power over life and populations,political theory
subject,سوژه,fa,The constituted individual in poststructuralism,philosophy
subjectivity,سوبژکتیویته,fa,The quality of being a subject,philosophy
deconstruction,ساختارشکنی,fa,Derrida's method of textual analysis,philosophy
structuralism,ساختارگرایی,fa,Approach emphasizing underlying structures,philosophy
poststructuralism,پساساختارگرایی,fa,Critique and extension of structuralism,philosophy
phenomenology,پدیدارشناسی,fa,Study of structures of consciousness,philosophy
hermeneutics,هرمنوتیک,fa,Theory of interpretation,philosophy
ontology,هستی‌شناسی,fa,Study of being and existence,philosophy
epistemology,معرفت‌شناسی,fa,Study of knowledge and justification,philosophy
